year,state,homelessness,number,region,state_new
2018,AK,Overall Homeless,2016.0,west,State
2018,AL,Overall Homeless,3434.0,southeast,State
2018,AR,Overall Homeless,2712.0,southeast,State
2018,AZ,Overall Homeless,9865.0,southwest,State
2018,CA,Overall Homeless,129972.0,west,State
2018,CO,Overall Homeless,10857.0,west,State
2018,CT,Overall Homeless,3976.0,northeast,State
2018,DC,Overall Homeless,6904.0,southeast,State
2018,DE,Overall Homeless,1082.0,southeast,State
2018,FL,Overall Homeless,31030.0,southeast,State
2018,GA,Overall Homeless,9499.0,southeast,State
2018,GU,Overall Homeless,854.0,west,Territory
2018,HI,Overall Homeless,6530.0,west,State
2018,IA,Overall Homeless,2749.0,midwest,State
2018,ID,Overall Homeless,2012.0,west,State
2018,IL,Overall Homeless,10643.0,midwest,State
2018,IN,Overall Homeless,5258.0,midwest,State
2018,KS,Overall Homeless,2216.0,midwest,State
2018,KY,Overall Homeless,3688.0,southeast,State
2018,LA,Overall Homeless,3059.0,southeast,State
2018,MA,Overall Homeless,20068.0,northeast,State
2018,MD,Overall Homeless,7144.0,southeast,State
2018,ME,Overall Homeless,2516.0,northeast,State
2018,MI,Overall Homeless,8351.0,midwest,State
2018,MN,Overall Homeless,7243.0,midwest,State
2018,MO,Overall Homeless,5883.0,midwest,State
2018,MP,Overall Homeless,1044.0,west,Territory
2018,MS,Overall Homeless,1352.0,southeast,State
2018,MT,Overall Homeless,1405.0,west,State
2018,NC,Overall Homeless,9268.0,southeast,State
2018,ND,Overall Homeless,542.0,midwest,State
2018,NE,Overall Homeless,2421.0,midwest,State
2018,NH,Overall Homeless,1450.0,northeast,State
2018,NJ,Overall Homeless,9398.0,northeast,State
2018,NM,Overall Homeless,2551.0,southwest,State
2018,NV,Overall Homeless,7544.0,west,State
2018,NY,Overall Homeless,91897.0,northeast,State
2018,OH,Overall Homeless,10249.0,midwest,State
2018,OK,Overall Homeless,3871.0,southwest,State
2018,OR,Overall Homeless,14476.0,west,State
2018,PA,Overall Homeless,13512.0,northeast,State
2018,PR,Overall Homeless,3182.0,northeast,Territory
2018,RI,Overall Homeless,1101.0,northeast,State
2018,SC,Overall Homeless,3933.0,southeast,State
2018,SD,Overall Homeless,1159.0,midwest,State
2018,TN,Overall Homeless,7883.0,southeast,State
