year,state,count_type,count
2018,AK,Overall Homeless,2016
2018,AL,Overall Homeless,3434
2018,AR,Overall Homeless,2712
2018,AZ,Overall Homeless,9865
2018,CA,Overall Homeless,129972
2018,CO,Overall Homeless,10857
2018,CT,Overall Homeless,3976
2018,DC,Overall Homeless,6904
2018,DE,Overall Homeless,1082
2018,FL,Overall Homeless,31030
2018,GA,Overall Homeless,9499
2018,GU,Overall Homeless,854
2018,HI,Overall Homeless,6530
2018,IA,Overall Homeless,2749
2018,ID,Overall Homeless,2012
2018,IL,Overall Homeless,10643
2018,IN,Overall Homeless,5258
2018,KS,Overall Homeless,2216
2018,KY,Overall Homeless,3688
2018,LA,Overall Homeless,3059
2018,MA,Overall Homeless,20068
2018,MD,Overall Homeless,7144
2018,ME,Overall Homeless,2516
2018,MI,Overall Homeless,8351
2018,MN,Overall Homeless,7243
2018,MO,Overall Homeless,5883
2018,MP,Overall Homeless,1044
2018,MS,Overall Homeless,1352
2018,MT,Overall Homeless,1405
2018,NC,Overall Homeless,9268
2018,ND,Overall Homeless,542
2018,NE,Overall Homeless,2421
2018,NH,Overall Homeless,1450
2018,NJ,Overall Homeless,9398
2018,NM,Overall Homeless,2551
2018,NV,Overall Homeless,7544
2018,NY,Overall Homeless,91897
2018,OH,Overall Homeless,10249
2018,OK,Overall Homeless,3871
2018,OR,Overall Homeless,14476
2018,PA,Overall Homeless,13512
2018,PR,Overall Homeless,3182
2018,RI,Overall Homeless,1101
2018,SC,Overall Homeless,3933
2018,SD,Overall Homeless,1159
2018,TN,Overall Homeless,7883
2018,TX,Overall Homeless,25310
2018,UT,Overall Homeless,2876
2018,VA,Overall Homeless,5975
2018,VI,Overall Homeless,486
2018,VT,Overall Homeless,1291
2018,WA,Overall Homeless,22304
2018,WI,Overall Homeless,4907
2018,WV,Overall Homeless,1243
2018,WY,Overall Homeless,639
2018,Total,Overall Homeless,552830
2018,AK,Sheltered ES Homeless,1248
2018,AL,Sheltered ES Homeless,1519
2018,AR,Sheltered ES Homeless,933
2018,AZ,Sheltered ES Homeless,3615
2018,CA,Sheltered ES Homeless,27475
2018,CO,Sheltered ES Homeless,4158
2018,CT,Sheltered ES Homeless,2879
2018,DC,Sheltered ES Homeless,5095
2018,DE,Sheltered ES Homeless,702
2018,FL,Sheltered ES Homeless,12089
2018,GA,Sheltered ES Homeless,3434
2018,GU,Sheltered ES Homeless,124
2018,HI,Sheltered ES Homeless,1528
2018,IA,Sheltered ES Homeless,1481
2018,ID,Sheltered ES Homeless,954
2018,IL,Sheltered ES Homeless,6247
2018,IN,Sheltered ES Homeless,3370
2018,KS,Sheltered ES Homeless,1300
2018,KY,Sheltered ES Homeless,2340
2018,LA,Sheltered ES Homeless,1163
2018,MA,Sheltered ES Homeless,16855
2018,MD,Sheltered ES Homeless,3603
2018,ME,Sheltered ES Homeless,1012
2018,MI,Sheltered ES Homeless,5499
2018,MN,Sheltered ES Homeless,3855
2018,MO,Sheltered ES Homeless,3262
2018,MP,Sheltered ES Homeless,22
2018,MS,Sheltered ES Homeless,404
2018,MT,Sheltered ES Homeless,793
2018,NC,Sheltered ES Homeless,5289
2018,ND,Sheltered ES Homeless,339
2018,NE,Sheltered ES Homeless,1736
2018,NH,Sheltered ES Homeless,812
2018,NJ,Sheltered ES Homeless,5805
2018,NM,Sheltered ES Homeless,1368
2018,NV,Sheltered ES Homeless,2183
2018,NY,Sheltered ES Homeless,82370
2018,OH,Sheltered ES Homeless,7234
2018,OK,Sheltered ES Homeless,2077
2018,OR,Sheltered ES Homeless,3757
2018,PA,Sheltered ES Homeless,7863
2018,PR,Sheltered ES Homeless,342
2018,RI,Sheltered ES Homeless,739
2018,SC,Sheltered ES Homeless,1997
2018,SD,Sheltered ES Homeless,707
2018,TN,Sheltered ES Homeless,3547
2018,TX,Sheltered ES Homeless,11307
2018,UT,Sheltered ES Homeless,1946
2018,VA,Sheltered ES Homeless,4232
2018,VI,Sheltered ES Homeless,137
2018,VT,Sheltered ES Homeless,1029
2018,WA,Sheltered ES Homeless,7652
2018,WI,Sheltered ES Homeless,3139
2018,WV,Sheltered ES Homeless,870
2018,WY,Sheltered ES Homeless,269
2018,Total,Sheltered ES Homeless,275705
2018,AK,Sheltered TH Homeless,459
2018,AL,Sheltered TH Homeless,865
2018,AR,Sheltered TH Homeless,516
2018,AZ,Sheltered TH Homeless,2144
2018,CA,Sheltered TH Homeless,12737
2018,CO,Sheltered TH Homeless,2348
2018,CT,Sheltered TH Homeless,516
2018,DC,Sheltered TH Homeless,1209
2018,DE,Sheltered TH Homeless,282
2018,FL,Sheltered TH Homeless,5419
2018,GA,Sheltered TH Homeless,2466
2018,GU,Sheltered TH Homeless,3
2018,HI,Sheltered TH Homeless,1527
2018,IA,Sheltered TH Homeless,1004
2018,ID,Sheltered TH Homeless,335
2018,IL,Sheltered TH Homeless,2381
2018,IN,Sheltered TH Homeless,1218
2018,KS,Sheltered TH Homeless,555
2018,KY,Sheltered TH Homeless,480
2018,LA,Sheltered TH Homeless,795
2018,MA,Sheltered TH Homeless,2148
2018,MD,Sheltered TH Homeless,1700
2018,ME,Sheltered TH Homeless,1391
2018,MI,Sheltered TH Homeless,1881
2018,MN,Sheltered TH Homeless,2251
2018,MO,Sheltered TH Homeless,1369
2018,MP,Sheltered TH Homeless,0
2018,MS,Sheltered TH Homeless,327
2018,MT,Sheltered TH Homeless,239
2018,NC,Sheltered TH Homeless,1529
2018,ND,Sheltered TH Homeless,155
2018,NE,Sheltered TH Homeless,541
2018,NH,Sheltered TH Homeless,476
2018,NJ,Sheltered TH Homeless,1951
2018,NM,Sheltered TH Homeless,387
2018,NV,Sheltered TH Homeless,921
2018,NY,Sheltered TH Homeless,5137
2018,OH,Sheltered TH Homeless,1608
2018,OK,Sheltered TH Homeless,586
2018,OR,Sheltered TH Homeless,1786
2018,PA,Sheltered TH Homeless,3625
2018,PR,Sheltered TH Homeless,312
2018,RI,Sheltered TH Homeless,311
2018,SC,Sheltered TH Homeless,577
2018,SD,Sheltered TH Homeless,167
2018,TN,Sheltered TH Homeless,1470
2018,TX,Sheltered TH Homeless,3405
2018,UT,Sheltered TH Homeless,510
2018,VA,Sheltered TH Homeless,810
2018,VI,Sheltered TH Homeless,42
2018,VT,Sheltered TH Homeless,180
2018,WA,Sheltered TH Homeless,3990
2018,WI,Sheltered TH Homeless,1319
2018,WV,Sheltered TH Homeless,180
2018,WY,Sheltered TH Homeless,171
2018,Total,Sheltered TH Homeless,80711
2018,AK,Sheltered SH Homeless,0
2018,AL,Sheltered SH Homeless,40
2018,AR,Sheltered SH Homeless,6
2018,AZ,Sheltered SH Homeless,40
2018,CA,Sheltered SH Homeless,217
2018,CO,Sheltered SH Homeless,22
2018,CT,Sheltered SH Homeless,0
2018,DC,Sheltered SH Homeless,0
2018,DE,Sheltered SH Homeless,5
2018,FL,Sheltered SH Homeless,129
2018,GA,Sheltered SH Homeless,0
2018,GU,Sheltered SH Homeless,0
2018,HI,Sheltered SH Homeless,0
2018,IA,Sheltered SH Homeless,23
2018,ID,Sheltered SH Homeless,0
2018,IL,Sheltered SH Homeless,73
2018,IN,Sheltered SH Homeless,91
2018,KS,Sheltered SH Homeless,4
2018,KY,Sheltered SH Homeless,0
2018,LA,Sheltered SH Homeless,36
2018,MA,Sheltered SH Homeless,80
2018,MD,Sheltered SH Homeless,77
2018,ME,Sheltered SH Homeless,15
2018,MI,Sheltered SH Homeless,72
2018,MN,Sheltered SH Homeless,16
2018,MO,Sheltered SH Homeless,38
2018,MP,Sheltered SH Homeless,0
2018,MS,Sheltered SH Homeless,0
2018,MT,Sheltered SH Homeless,0
2018,NC,Sheltered SH Homeless,0
2018,ND,Sheltered SH Homeless,0
2018,NE,Sheltered SH Homeless,0
2018,NH,Sheltered SH Homeless,8
2018,NJ,Sheltered SH Homeless,19
2018,NM,Sheltered SH Homeless,0
2018,NV,Sheltered SH Homeless,201
2018,NY,Sheltered SH Homeless,96
2018,OH,Sheltered SH Homeless,92
2018,OK,Sheltered SH Homeless,17
2018,OR,Sheltered SH Homeless,8
2018,PA,Sheltered SH Homeless,280
2018,PR,Sheltered SH Homeless,16
2018,RI,Sheltered SH Homeless,0
2018,SC,Sheltered SH Homeless,15
2018,SD,Sheltered SH Homeless,0
2018,TN,Sheltered SH Homeless,11
2018,TX,Sheltered SH Homeless,64
2018,UT,Sheltered SH Homeless,0
2018,VA,Sheltered SH Homeless,18
2018,VI,Sheltered SH Homeless,0
2018,VT,Sheltered SH Homeless,0
2018,WA,Sheltered SH Homeless,41
2018,WI,Sheltered SH Homeless,67
2018,WV,Sheltered SH Homeless,10
2018,WY,Sheltered SH Homeless,0
2018,Total,Sheltered SH Homeless,1947
2018,AK,Sheltered Total Homeless,1707
2018,AL,Sheltered Total Homeless,2424
2018,AR,Sheltered Total Homeless,1455
2018,AZ,Sheltered Total Homeless,5799
2018,CA,Sheltered Total Homeless,40429
2018,CO,Sheltered Total Homeless,6528
2018,CT,Sheltered Total Homeless,3395
2018,DC,Sheltered Total Homeless,6304
2018,DE,Sheltered Total Homeless,989
2018,FL,Sheltered Total Homeless,17637
2018,GA,Sheltered Total Homeless,5900
2018,GU,Sheltered Total Homeless,127
2018,HI,Sheltered Total Homeless,3055
2018,IA,Sheltered Total Homeless,2508
2018,ID,Sheltered Total Homeless,1289
2018,IL,Sheltered Total Homeless,8701
2018,IN,Sheltered Total Homeless,4679
2018,KS,Sheltered Total Homeless,1859
2018,KY,Sheltered Total Homeless,2820
2018,LA,Sheltered Total Homeless,1994
2018,MA,Sheltered Total Homeless,19083
2018,MD,Sheltered Total Homeless,5380
2018,ME,Sheltered Total Homeless,2418
2018,MI,Sheltered Total Homeless,7452
2018,MN,Sheltered Total Homeless,6122
2018,MO,Sheltered Total Homeless,4669
2018,MP,Sheltered Total Homeless,22
2018,MS,Sheltered Total Homeless,731
2018,MT,Sheltered Total Homeless,1032
2018,NC,Sheltered Total Homeless,6818
2018,ND,Sheltered Total Homeless,494
2018,NE,Sheltered Total Homeless,2277
2018,NH,Sheltered Total Homeless,1296
2018,NJ,Sheltered Total Homeless,7775
2018,NM,Sheltered Total Homeless,1755
2018,NV,Sheltered Total Homeless,3305
2018,NY,Sheltered Total Homeless,87603
2018,OH,Sheltered Total Homeless,8934
2018,OK,Sheltered Total Homeless,2680
2018,OR,Sheltered Total Homeless,5551
2018,PA,Sheltered Total Homeless,11768
2018,PR,Sheltered Total Homeless,670
2018,RI,Sheltered Total Homeless,1050
2018,SC,Sheltered Total Homeless,2589
2018,SD,Sheltered Total Homeless,874
2018,TN,Sheltered Total Homeless,5028
2018,TX,Sheltered Total Homeless,14776
2018,UT,Sheltered Total Homeless,2456
2018,VA,Sheltered Total Homeless,5060
2018,VI,Sheltered Total Homeless,179
2018,VT,Sheltered Total Homeless,1209
2018,WA,Sheltered Total Homeless,11683
2018,WI,Sheltered Total Homeless,4525
2018,WV,Sheltered Total Homeless,1060
2018,WY,Sheltered Total Homeless,440
2018,Total,Sheltered Total Homeless,358363
2018,AK,Unsheltered Homeless,309
2018,AL,Unsheltered Homeless,1010
2018,AR,Unsheltered Homeless,1257
2018,AZ,Unsheltered Homeless,4066
2018,CA,Unsheltered Homeless,89543
2018,CO,Unsheltered Homeless,4329
2018,CT,Unsheltered Homeless,581
2018,DC,Unsheltered Homeless,600
2018,DE,Unsheltered Homeless,93
2018,FL,Unsheltered Homeless,13393
2018,GA,Unsheltered Homeless,3599
2018,GU,Unsheltered Homeless,727
2018,HI,Unsheltered Homeless,3475
2018,IA,Unsheltered Homeless,241
2018,ID,Unsheltered Homeless,723
2018,IL,Unsheltered Homeless,1942
2018,IN,Unsheltered Homeless,579
2018,KS,Unsheltered Homeless,357
2018,KY,Unsheltered Homeless,868
2018,LA,Unsheltered Homeless,1065
2018,MA,Unsheltered Homeless,985
2018,MD,Unsheltered Homeless,1764
2018,ME,Unsheltered Homeless,98
2018,MI,Unsheltered Homeless,899
2018,MN,Unsheltered Homeless,1121
2018,MO,Unsheltered Homeless,1214
2018,MP,Unsheltered Homeless,1022
2018,MS,Unsheltered Homeless,621
2018,MT,Unsheltered Homeless,373
2018,NC,Unsheltered Homeless,2450
2018,ND,Unsheltered Homeless,48
2018,NE,Unsheltered Homeless,144
2018,NH,Unsheltered Homeless,154
2018,NJ,Unsheltered Homeless,1623
2018,NM,Unsheltered Homeless,796
2018,NV,Unsheltered Homeless,4239
2018,NY,Unsheltered Homeless,4294
2018,OH,Unsheltered Homeless,1315
2018,OK,Unsheltered Homeless,1191
2018,OR,Unsheltered Homeless,8925
2018,PA,Unsheltered Homeless,1744
2018,PR,Unsheltered Homeless,2512
2018,RI,Unsheltered Homeless,51
2018,SC,Unsheltered Homeless,1344
2018,SD,Unsheltered Homeless,285
2018,TN,Unsheltered Homeless,2855
2018,TX,Unsheltered Homeless,10534
2018,UT,Unsheltered Homeless,420
2018,VA,Unsheltered Homeless,915
2018,VI,Unsheltered Homeless,307
2018,VT,Unsheltered Homeless,82
2018,WA,Unsheltered Homeless,10621
2018,WI,Unsheltered Homeless,382
2018,WV,Unsheltered Homeless,183
2018,WY,Unsheltered Homeless,199
2018,Total,Unsheltered Homeless,194467
2018,AK,Homeless Individuals,1434
2018,AL,Homeless Individuals,2570
2018,AR,Homeless Individuals,2280
2018,AZ,Homeless Individuals,7259
2018,CA,Homeless Individuals,109008
2018,CO,Homeless Individuals,7607
2018,CT,Homeless Individuals,2280
2018,DC,Homeless Individuals,3770
2018,DE,Homeless Individuals,708
2018,FL,Homeless Individuals,21443
2018,GA,Homeless Individuals,6943
2018,GU,Homeless Individuals,209
2018,HI,Homeless Individuals,4131
2018,IA,Homeless Individuals,1711
2018,ID,Homeless Individuals,1297
2018,IL,Homeless Individuals,6752
2018,IN,Homeless Individuals,3776
2018,KS,Homeless Individuals,1443
2018,KY,Homeless Individuals,2735
2018,LA,Homeless Individuals,2540
2018,MA,Homeless Individuals,6811
2018,MD,Homeless Individuals,4914
2018,ME,Homeless Individuals,1450
2018,MI,Homeless Individuals,5209
2018,MN,Homeless Individuals,3993
2018,MO,Homeless Individuals,3776
2018,MP,Homeless Individuals,357
2018,MS,Homeless Individuals,1024
2018,MT,Homeless Individuals,983
2018,NC,Homeless Individuals,6451
2018,ND,Homeless Individuals,467
2018,NE,Homeless Individuals,1745
2018,NH,Homeless Individuals,835
2018,NJ,Homeless Individuals,6048
2018,NM,Homeless Individuals,1949
2018,NV,Homeless Individuals,7058
2018,NY,Homeless Individuals,39827
2018,OH,Homeless Individuals,6929
2018,OK,Homeless Individuals,2823
2018,OR,Homeless Individuals,11139
2018,PA,Homeless Individuals,8163
2018,PR,Homeless Individuals,2921
2018,RI,Homeless Individuals,747
2018,SC,Homeless Individuals,3082
2018,SD,Homeless Individuals,836
2018,TN,Homeless Individuals,6139
2018,TX,Homeless Individuals,19199
2018,UT,Homeless Individuals,1904
2018,VA,Homeless Individuals,3928
2018,VI,Homeless Individuals,415
2018,VT,Homeless Individuals,780
2018,WA,Homeless Individuals,16424
2018,WI,Homeless Individuals,2740
2018,WV,Homeless Individuals,1021
2018,WY,Homeless Individuals,434
2018,Total,Homeless Individuals,372417
2018,AK,Sheltered ES Homeless Individuals,953
2018,AL,Sheltered ES Homeless Individuals,1057
2018,AR,Sheltered ES Homeless Individuals,708
2018,AZ,Sheltered ES Homeless Individuals,2327
2018,CA,Sheltered ES Homeless Individuals,16507
2018,CO,Sheltered ES Homeless Individuals,3317
2018,CT,Sheltered ES Homeless Individuals,1451
2018,DC,Sheltered ES Homeless Individuals,2472
2018,DE,Sheltered ES Homeless Individuals,460
2018,FL,Sheltered ES Homeless Individuals,7031
2018,GA,Sheltered ES Homeless Individuals,2002
2018,GU,Sheltered ES Homeless Individuals,19
2018,HI,Sheltered ES Homeless Individuals,832
2018,IA,Sheltered ES Homeless Individuals,1035
2018,ID,Sheltered ES Homeless Individuals,647
2018,IL,Sheltered ES Homeless Individuals,3746
2018,IN,Sheltered ES Homeless Individuals,2376
2018,KS,Sheltered ES Homeless Individuals,880
2018,KY,Sheltered ES Homeless Individuals,1650
2018,LA,Sheltered ES Homeless Individuals,839
2018,MA,Sheltered ES Homeless Individuals,4394
2018,MD,Sheltered ES Homeless Individuals,2298
2018,ME,Sheltered ES Homeless Individuals,644
2018,MI,Sheltered ES Homeless Individuals,3426
2018,MN,Sheltered ES Homeless Individuals,2168
2018,MO,Sheltered ES Homeless Individuals,1920
2018,MP,Sheltered ES Homeless Individuals,22
2018,MS,Sheltered ES Homeless Individuals,261
2018,MT,Sheltered ES Homeless Individuals,541
2018,NC,Sheltered ES Homeless Individuals,3577
2018,ND,Sheltered ES Homeless Individuals,306
